User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
39265.0,male,36,G,Non_Verified,Heterosexual,Dominant,,-650,before_22_days,29.12.2015,0,0:19,0.0,0.0,0.0,,unknown_risk
16483.0,male,"31,8",K,Non_Verified,Heterosexual,Dominant,Women,-495,before_13_days,25.3.2013,0,0:3,0.0,0.0,1.0,,unknown_risk
19774.0,male,"36,2",B,Non_Verified,Heterosexual,Dominant,Women,-469,before_3_days,19.7.2013,11,0:0,1.0,0.0,4.0,,unknown_risk
13806.0,male,38,C,Non_Verified,Heterosexual,Dominant,Women,-450,before_52_days,9.1.2013,0,0:48,2.0,0.0,0.0,"29161,26116",unknown_risk
36775.0,male,"31,3",A,Non_Verified,Heterosexual,Dominant,Nobody,-374,before_1_days,9.8.2015,17,0:0,0.0,0.0,0.0,,unknown_risk
1259.0,male,"43,1",N,Non_Verified,Heterosexual,Dominant,Nobody,-370,before_629_days,21.7.2010,0,3:35,0.0,0.0,33.0,5516,unknown_risk
47448.0,male,"55,7",B,Non_Verified,bisexual,Switch,Men_and_Women,-300,before_50_days,7.3.2017,0,0:0,1.0,0.0,0.0,,unknown_risk
19583.0,male,"29,1",G,Non_Verified,Heterosexual,Dominant,Women,-250,before_491_days,11.7.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
23512.0,male,"69,9",A,Verified,Heterosexual,Switch,Women,-200,before_1083_days,22.12.2013,0,87:7,0.0,0.0,0.0,"21687,866,6434,23026,5807,24705,19802",unknown_risk
42541.0,female,23,A,Non_Verified,bicurious,Switch,Nobody,-200,before_307_days,26.6.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
47354.0,male,"28,9",A,Non_Verified,Heterosexual,Switch,Women,-200,before_13_days,3.3.2017,0,0:0,1.0,0.0,0.0,,unknown_risk
32238.0,male,"30,3",B,Non_Verified,Homosexual,Submisive,Nobody,-185,before_101_days,29.12.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
25683.0,male,"36,8",A,Non_Verified,Heterosexual,Submisive,Women,-169,before_579_days,21.3.2014,25,0:0,1.0,0.0,0.0,,unknown_risk
18580.0,male,"40,3",N,Non_Verified,bisexual,Submisive,Men_and_Women,-165,before_50_days,5.6.2013,0,0:25,0.0,0.0,4.0,8544,unknown_risk
38817.0,male,"50,8",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,-155,before_59_days,30.11.2015,11,3:17,0.0,0.0,2.0,39124,unknown_risk
22466.0,male,40,A,Non_Verified,Heterosexual,Dominant,Women,-150,before_1190_days,5.11.2013,0,0:0,0.0,0.0,1.0,,unknown_risk
33343.0,male,"39,7",D,Non_Verified,Heterosexual,Dominant,Nobody,-150,before_761_days,14.2.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
4464.0,female,"31,6",K,Non_Verified,bisexual,Switch,Men,-149,before_166_days,16.1.2012,1,0:0,1.0,5.0,0.0,"36557,34914,11964,5523,35459,37922,6848,32371",unknown_risk
45362.0,male,"27,3",A,Non_Verified,Heterosexual,Dominant,Women,-140,before_3_days,21.11.2016,0,0:2,0.0,0.0,0.0,,unknown_risk
45340.0,male,"48,2",A,Non_Verified,Heterosexual,Dominant,Nobody,-117,before_92_days,19.11.2016,6,0:16,0.0,0.0,0.0,,unknown_risk
44427.0,male,"51,2",M,Non_Verified,Heterosexual,Dominant,Nobody,-114,before_208_days,2.10.2016,2,1:8,0.0,0.0,0.0,,unknown_risk
10372.0,male,43,A,Non_Verified,Heterosexual,Dominant,Nobody,-100,before_86_days,16.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
11474.0,male,"37,3",A,Non_Verified,bisexual,Switch,Nobody_but_maybe,-100,before_1472_days,22.10.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
25367.0,male,"36,5",B,Non_Verified,Heterosexual,Dominant,Nobody,-100,before_971_days,4.3.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
31776.0,female,21,B,Non_Verified,Heterosexual,Submisive,Nobody,-100,before_13_days,7.12.2014,0,0:0,0.0,0.0,0.0,"30014,31998,17914,4690,32582,24073,5196,18504",unknown_risk
32322.0,female,"37,2",M,Non_Verified,bisexual,Submisive,Nobody,-100,before_847_days,1.1.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
46581.0,male,37,A,Non_Verified,Heterosexual,Dominant,Women,-99,before_9_days,23.1.2017,1,9:41,1.0,0.0,0.0,,unknown_risk
25034.0,male,"47,1",L,Non_Verified,Heterosexual,Dominant,Nobody,-90,before_32_days,15.2.2014,0,0:14,0.0,0.0,0.0,,unknown_risk
12761.0,male,"55,8",E,Non_Verified,Heterosexual,Dominant,Women,-85,before_1049_days,4.12.2012,0,0:0,2.0,0.0,4.0,,unknown_risk
21808.0,male,25,A,Non_Verified,Heterosexual,Submisive,,-85,before_132_days,11.10.2013,0,0:0,1.0,0.0,0.0,,unknown_risk
34830.0,male,"48,1",G,Non_Verified,Homosexual,Submisive,Men,-85,before_265_days,26.4.2015,0,0:0,5.0,0.0,1.0,19152,unknown_risk
40265.0,male,"40,9",G,Non_Verified,Heterosexual,Submisive,Women,-85,before_3_days,20.2.2016,0,0:0,1.0,0.0,0.0,,unknown_risk
40749.0,male,"25,2",O,Non_Verified,Heterosexual,Submisive,Women,-85,before_390_days,17.3.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
4637.0,male,"54,9",N,Non_Verified,Heterosexual,Dominant,Women,-85,before_1724_days,12.2.2012,0,0:16,2.0,0.0,0.0,,unknown_risk
22767.0,female,"35,4",A,Non_Verified,Homosexual,Switch,Nobody,-82,before_1115_days,19.11.2013,5,0:0,0.0,0.0,0.0,,unknown_risk
14645.0,male,"38,3",A,Non_Verified,Heterosexual,Dominant,Nobody,-80,before_5_days,25.1.2013,0,0:0,0.0,0.0,6.0,,unknown_risk
46359.0,female,40,K,Non_Verified,bisexual,Submisive,Women,-80,before_3_days,12.1.2017,17,0:0,0.0,0.0,0.0,,unknown_risk
5695.0,male,41,K,Non_Verified,Heterosexual,Dominant,Women,-80,before_1_days,1.7.2012,0,0:0,2.0,0.0,1.0,,unknown_risk
27745.0,female,"38,2",A,Non_Verified,Heterosexual,Dominant,Men,-76,before_113_days,22.6.2014,4,0:33,0.0,0.0,0.0,,unknown_risk
6086.0,male,"31,6",A,Non_Verified,Heterosexual,Dominant,Nobody,-75,before_1754_days,2.7.2012,0,0:4,0.0,0.0,0.0,,unknown_risk
17191.0,male,"38,2",A,Non_Verified,Heterosexual,Dominant,Nobody,-74,before_115_days,17.4.2013,11,0:0,0.0,1.0,5.0,"22285,2333",unknown_risk
10786.0,male,"46,1",O,Non_Verified,bisexual,Submisive,Men_and_Women,-70,before_432_days,30.9.2012,1,0:2,1.0,0.0,0.0,,unknown_risk
37480.0,male,"36,6",M,Non_Verified,Heterosexual,Dominant,Women,-70,before_438_days,14.9.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
24008.0,male,"43,6",A,Non_Verified,Heterosexual,Dominant,Women,-60,before_115_days,5.1.2014,0,0:0,0.0,0.0,4.0,,unknown_risk
3473.0,male,"37,9",B,Non_Verified,Heterosexual,Dominant,Nobody,-60,before_95_days,1.9.2011,0,0:0,0.0,0.0,0.0,,unknown_risk
35459.0,male,"32,2",K,Non_Verified,Heterosexual,Dominant,Nobody,-60,before_52_days,30.5.2015,0,0:0,0.0,4.0,0.0,"42753,36557,4464,6848,31150,32371",unknown_risk
41579.0,male,"46,1",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,-60,before_205_days,4.5.2016,0,0:0,1.0,0.0,0.0,,unknown_risk
46553.0,female,"23,7",A,Non_Verified,Heterosexual,Submisive,Nobody,-58,before_3_days,22.1.2017,23,0:0,0.0,0.0,0.0,,unknown_risk
24345.0,male,"46,7",A,Non_Verified,Heterosexual,Dominant,Women,-57,before_3_days,17.1.2014,5,0:51,0.0,0.0,0.0,"27531,44787,2336",unknown_risk
13111.0,male,28,B,Non_Verified,Heterosexual,Dominant,Women,-55,before_191_days,18.12.2012,0,0:0,5.0,0.0,0.0,,unknown_risk
22435.0,female,"26,4",S,Non_Verified,Heterosexual,Submisive,Nobody,-55,before_922_days,4.11.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
32236.0,male,"28,1",G,Non_Verified,bicurious,Submisive,Nobody,-55,before_22_days,29.12.2014,0,1:18,0.0,0.0,0.0,,unknown_risk
14707.0,male,"68,4",A,Non_Verified,Heterosexual,Dominant,Nobody,-53,before_550_days,27.1.2013,64,11:37,0.0,0.0,0.0,"6139,6429,14314",unknown_risk
10420.0,male,26,K,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_1_days,18.9.2012,0,0:7,0.0,0.0,0.0,,unknown_risk
10441.0,male,31,B,Non_Verified,bicurious,Submisive,Nobody,-50,before_1003_days,18.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
11472.0,male,"39,6",G,Non_Verified,bisexual,Submisive,Men,-50,before_15_days,22.10.2012,2,0:0,0.0,0.0,0.0,,unknown_risk
14709.0,female,29,A,Non_Verified,bisexual,Dominant,Women,-50,before_1214_days,27.1.2013,0,0:4,0.0,0.0,0.0,,unknown_risk
15278.0,male,"41,2",A,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_501_days,13.2.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
15386.0,male,"34,2",A,Non_Verified,Heterosexual,Dominant,Women,-50,before_67_days,17.2.2013,0,0:0,0.0,0.0,2.0,,unknown_risk
17587.0,male,"43,8",A,Non_Verified,bisexual,Submisive,Women,-50,before_50_days,4.5.2013,0,0:0,0.0,0.0,2.0,,unknown_risk
21863.0,male,"29,4",C,Non_Verified,bisexual,Submisive,Nobody,-50,before_759_days,13.10.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
23239.0,female,"47,4",L,Non_Verified,Heterosexual,Dominant,Men,-50,before_1135_days,9.12.2013,0,0:0,1.0,0.0,1.0,,unknown_risk
23628.0,male,"40,1",A,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_1107_days,26.12.2013,0,0:0,0.0,0.0,4.0,,unknown_risk
27461.0,female,"29,4",E,Non_Verified,Heterosexual,Submisive,Nobody,-50,before_1052_days,9.6.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
30012.0,male,"37,6",A,Non_Verified,Heterosexual,Dominant,Women,-50,before_61_days,23.9.2014,0,0:0,2.0,0.0,0.0,,unknown_risk
31566.0,male,"42,3",A,Non_Verified,bicurious,Switch,Men_and_Women,-50,before_69_days,27.11.2014,0,0:2,1.0,1.0,0.0,,unknown_risk
32519.0,male,"41,9",B,Non_Verified,bicurious,Submisive,Nobody,-50,before_422_days,9.1.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
33538.0,male,"37,4",B,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_793_days,22.2.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
37721.0,male,"35,7",F,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_575_days,28.9.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
37912.0,male,20,O,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_63_days,8.10.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
38604.0,male,"43,9",L,Non_Verified,Heterosexual,Dominant,,-50,before_42_days,17.11.2015,0,0:25,0.0,0.0,0.0,,unknown_risk
39456.0,female,"34,3",G,Non_Verified,bicurious,Switch,Nobody,-50,before_378_days,7.1.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
41975.0,female,"19,5",L,Non_Verified,bicurious,Switch,Nobody,-50,before_207_days,26.5.2016,0,0:0,1.0,0.0,0.0,41191,unknown_risk
